access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,funding_sources,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids.station,ev_network_ids.posts,federal_agency.id,federal_agency.code,federal_agency.name
private,Fleet use only,GOVERNMENT,,2024-10-11,,ELEC,Private - Government only,121399,HD,2019-08-15,LG,,E,,FLEET_GARAGE,San Diego Metropolitan Transit System,,2024-10-11T18:09:31Z,200-9,32.705788,-117.149884,San Diego,US,16th St and Imperial Ave,,CA,100 16th St,92101,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",6.0,,,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,,,,,
private,Fleet use only,,,2021-02-22,,ELEC,Private,122053,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego,,2021-03-11T23:22:17Z,GPS,32.6833,-117.124,San Diego,US,,,CA,1220 Pacific Hwy,92136,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122054,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 116,,2021-03-11T23:22:17Z,GPS,32.6813,-117.122,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122055,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 153,,2021-03-11T23:22:17Z,GPS,32.6854,-117.1299,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,['J1772'],,,8.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122056,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 291,,2021-03-11T23:22:17Z,GPS,32.6834,-117.1229,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122057,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 3509,,2021-03-11T23:22:17Z,GPS,32.67,-117.11,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,"['CHADEMO', 'J1772']",2.0,,44.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2022-09-14,,ELEC,Private,122058,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 57,,2023-02-14T15:54:11Z,GPS,32.69085475,-117.1294381,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122059,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 72,,2021-03-11T23:22:17Z,GPS,32.6853,-117.1194,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,"['J1772', 'NEMA520']",,1.0,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122060,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 73,,2021-03-11T23:22:17Z,GPS,32.6871,-117.1321,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122061,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 77,,2021-03-11T23:22:17Z,GPS,32.6813,-117.1256,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122062,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 92,,2021-03-11T23:22:17Z,GPS,32.6813,-117.122,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,"['J1772', 'NEMA520']",,1.0,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122063,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Building 271,,2021-03-11T23:22:17Z,GPS,32.693,-117.126,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122064,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - San Diego - Pier 7/1,,2021-03-11T23:22:17Z,GPS,32.6735,-117.1194,San Diego,US,,,CA,2525 Callagan Hwy,92136,,,,,,,,,,,,"['J1772', 'NEMA520']",,1.0,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122157,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - Naval Air Base Coronado - Amphibious Base,,2021-03-11T23:22:17Z,GPS,32.6742,-117.1611,Coronado,US,,,CA,3632 Tulagi Rd,92118,,,,,,,,,,,,['J1772'],,,12.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122158,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - Naval Air Base Point Loma - NMAWC Complex (Admiral Kidd) Harbor Drive,,2021-03-11T23:22:17Z,GPS,32.7255,-117.2199,San Diego,US,,,CA,140 Sylvester Rd,92106,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122159,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command -  Naval Air Base Point Loma - SPAWAR Enterprise St Bldg OT4 - Old Town Complex,,2021-03-11T23:22:17Z,GPS,32.749312,-117.198459,San Diego,US,,,CA,140 Sylvester Rd,92106,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122160,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command - Naval Air Base Point Loma - Sub Base - SSC Pacific Topside Complex,,2021-03-11T23:22:17Z,GPS,32.699,-117.198459,San Diego,US,,,CA,142 Sylvester Rd,92106,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
private,Fleet use only,,,2021-02-22,,ELEC,Private,122161,,2019-02-01,FG,,E,,FED_GOV,Naval Facilities Engineering Command -  Naval Air Base Point Loma - Taylor Street Complex,,2021-03-11T23:22:17Z,GPS,32.7564,-117.2011,San Diego,US,,,CA,143 Sylvester Rd,92106,,,,,,,,,,,,['J1772'],,,4.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,,14.0,DON,Department of Navy
public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,2024-07-01,,ELEC,Public,122326,,2019-03-01,P,,E,,,The Beacon La Costa - Tesla Supercharger,877-798-3752,2024-08-14T18:58:22Z,GPS,33.084093,-117.266324,Carlsbad,US,,,CA,7710-7770 El Camino Real,92009,,,,,,,,,,,,['TESLA'],26.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['3559'],,,,
private,24 hours daily,,,2024-04-14,,ELEC,Private,123361,LD,2019-05-01,P,,E,,OFFICE_BLDG,Verizon - San Diego,,2024-04-14T22:11:34Z,200-8,32.898004,-117.202976,San Diego,US,,,CA,9808 Scranton Rd,92121,,,,,,,,,,,,['J1772'],,,12.0,Non-Networked,,,,,True,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
private,For employee use only,,,2022-09-14,,ELEC,Private,123404,LD,2019-05-01,P,,E,,OFFICE_BLDG,Verizon - San Diego,,2023-02-15T22:45:41Z,200-9,32.898767,-117.203488,San Diego,US,,,CA,9868 Scranton Rd,92121,,,,,,,,,,,,['J1772'],,,6.0,Non-Networked,,,,,True,,,,,,,,,,,,,,,,,,,,,Privé,,,,,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,127672,,2019-07-11,,,E,,,521316-Mater Dei Catholic,855-900-7584,2024-12-04T01:16:59Z,200-9,32.619831,-116.976027,Chula Vista,US,,,CA,"1615 Mater Dei Dr,",91913,,,,,,,,,,,,['J1772'],,,10.0,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['1623'],"['52663*1', '52663*2', '52664*1', '52664*2', '52665*1', '52665*2', '52666*1', '52666*2', '52716', '52825']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,139501,,2019-08-07,,,E,,,"Walmart 1700 - Poway, CA",833-632-2778,2024-12-03T03:17:09Z,GPS,32.9583,-117.03943,Poway,US,,,CA,13425 Community Rd,92064,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",3.0,,1.0,Electrify America,https://www.electrifyamerica.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['200151'],"['200151-01', '200151-02', '200151-03', '200151-50']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,143940,,2019-08-21,,,E,,,Fashion Valley Mall – North,833-632-2778,2024-12-03T03:17:57Z,GPS,32.76931,-117.16372,San Diego,US,,,CA,7007 Friars Road,92108,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",3.0,,1.0,Electrify America,https://www.electrifyamerica.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['200142'],"['200142-01', '200142-02', '200142-03', '200142-50']",,,
public,24 hours daily,CALL,Cash M V,2024-07-11,,ELEC,Public - Call ahead,144126,LD,2019-01-12,P,False,E,,PAY_LOT,San Diego Airport Parking Co,619-574-1177,2024-07-11T19:05:43Z,200-8,32.757008,-117.206497,San Diego,US,South of Rosecrans,,CA,2771 Kurtz St,92110,,,,,,,,,,,,['J1772'],,,10.0,Non-Networked,,,Flat Fee: $15 for customers $25 for general public,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,,,,
private,Fleet use only; mainly for shuttles,FLEET,Proprietor,2024-07-11,,ELEC,Private - Fleet customers only,144241,LD,2019-07-15,P,,E,,PAY_LOT,San Diego Airport Parking Co,619-574-1177,2024-07-11T19:05:43Z,200-8,32.757008,-117.206497,San Diego,US,South of Rosecrans,,CA,2771 Kurtz St,92110,,,,,,,,,,,,['J1772COMBO'],1.0,,,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé - Réservé aux clients de parcs,,,,,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,145638,,2019-09-28,,,E,,,Del Lago Park and Ride,888-998-2546,2024-12-04T00:17:48Z,GPS,33.0728631,-117.070856,Escondido,US,,,CA,3310 Del Lago Blvd,92029,,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000470593'],"['465ba1dd-d734-8158-93cc-330000713951', '465ba1dd-d734-8158-93cc-330000751146', 'b9aa6d21-499c-4ee8-a02e-84cecaf30b8e', 'ce8543db-6c84-406a-97ad-ad63df770e35']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,145681,,2019-10-01,,,E,,,Felicita Plaza,833-632-2778,2024-12-03T03:15:37Z,GPS,33.10314,-117.07439,Escondido,US,,,CA,329 W Felicita Ave,92025,,,,,,,,,,,,"['J1772', 'J1772COMBO']",3.0,,1.0,Electrify America,https://www.electrifyamerica.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['200149'],"['200149-01', '200149-02', '200149-03', '200149-50']",,,
public,24 hours daily,,,2024-12-04,2024-07-02,ELEC,TEMPORARILY UNAVAILABLE (Public),148841,,2011-12-02,,,T,,,"Walgreens - Vista, CA #9389",800-663-5633,2024-12-04T00:30:39Z,GPS,33.168928,-117.21187,Vista,US,,,CA,310 Sycamore Ave,92083,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,$2.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['d0e864cf-fb2a-3dbf-1307-c00000000243'],['ec7d626f-5a87-3f0b-1307-200000000441'],,,
public,24 hours daily,,,2024-12-03,2023-02-27,ELEC,TEMPORARILY UNAVAILABLE (Public),148842,,2015-07-10,,,T,,,DMV San Marcos,800-663-5633,2024-12-03T00:06:08Z,GPS,33.1406858,-117.1474015,San Marcos,US,,,CA,590 Rancheros Drive,92069,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,$4.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['d0e864cf-fb2a-3dbf-1307-c00000002150'],"['ec7d626f-5a87-3f0b-1307-200000002647', 'ec7d626f-5a87-3f0b-1307-200000002648']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148844,,2011-11-24,,,E,,,"Walgreens - Poway, CA #12421",800-663-5633,2024-12-04T00:30:40Z,GPS,32.9566887,-117.0411735,Poway,US,,,CA,13390 Poway Rd,92064,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,$2.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000000245'],['101e95bd-7df3-4962-a99c-5e9e6977c8af'],,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148845,,2016-03-02,,,E,,,Lomas Santa Fe Plaza,800-663-5633,2024-12-04T00:45:38Z,GPS,32.99402986,-117.2531751,Solana Beach,US,,,CA,975 Lomas Santa Fe Drive,92075,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,$2.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000001339'],"['ec7d626f-5a87-3f0b-1307-200000002968', 'ec7d626f-5a87-3f0b-1307-200000002969']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148846,,2016-03-02,,,E,,,Solana Beach Towne Centre,800-663-5633,2024-12-04T00:45:38Z,GPS,32.99433506,-117.2578031,Solana Beach,US,,,CA,685 San Rodolfo Drive,92075,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,$2.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000001340'],"['ec7d626f-5a87-3f0b-1307-200000002967', 'ec7d626f-5a87-3f0b-1307-200000002970']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148847,,2016-03-08,,,E,,,SBCC,800-663-5633,2024-12-04T00:45:39Z,GPS,32.9915409,-117.2611211,Solana Beach,US,,,CA,380 Stevens Avenue,92075,,,,,,,,,,,,['J1772'],,,3.0,Blink Network,http://www.blinkcharging.com/,,$1.50/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000001343'],"['ec7d626f-5a87-3f0b-1307-200000002451', 'ec7d626f-5a87-3f0b-1307-200000002453', 'ec7d626f-5a87-3f0b-1307-200000013614']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148848,,2015-11-30,,,E,,,PHR Village,800-663-5633,2024-12-04T00:45:32Z,GPS,32.9616711,-117.1898976,San Diego,US,,,CA,5950 Village Way,92130,,,,,,,,,,,,['J1772'],,,6.0,Blink Network,http://www.blinkcharging.com/,,"$0.00-$5.00/Hr Variable Parking Fee, $0.25/kWh Energy Fee",,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000001316'],"['ec7d626f-5a87-3f0b-1307-200000002737', 'ec7d626f-5a87-3f0b-1307-200000002738', 'ec7d626f-5a87-3f0b-1307-200000023771', 'ec7d626f-5a87-3f0b-1307-200000023772', 'ec7d626f-5a87-3f0b-1307-200000023774', 'ec7d626f-5a87-3f0b-1307-200000023795']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148849,,2014-05-13,,,E,,,Cathedral Catholic High School,800-663-5633,2024-12-04T00:41:15Z,GPS,32.959656,-117.201469,San Diego,US,,,CA,5555 Del Mar Heights Road,92130,,,,,,,,,,,,['J1772'],,,3.0,Blink Network,http://www.blinkcharging.com/,,"$0.00-$2.00/Hr Variable Parking Fee, $0.00-$0.14/kWh Variable Energy Fee",,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000000964'],"['ec7d626f-5a87-3f0b-1307-200000002207', 'ec7d626f-5a87-3f0b-1307-200000002209', 'ec7d626f-5a87-3f0b-1307-200000002210']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148857,,2019-06-04,,,E,,,Torrey Reserve TR13,800-663-5633,2024-12-04T00:05:06Z,GPS,32.9301152,-117.2378948,San Diego,US,,,CA,11720 El Camino Real,92130,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,$1.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000002538'],"['ec7d626f-5a87-3f0b-1307-200000007608', 'ec7d626f-5a87-3f0b-1307-200000018255']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148859,,2016-03-29,,,E,,,Torrey Reserve VC2,800-663-5633,2024-12-04T00:35:38Z,GPS,32.92809655,-117.2386996,San Diego,US,,,CA,11582 El Camino Real,92130,,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,$1.00-$7.00/Hr Variable Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000000603'],"['ec7d626f-5a87-3f0b-1307-200000001488', 'ec7d626f-5a87-3f0b-1307-200000001489', 'ec7d626f-5a87-3f0b-1307-200000018237', 'ec7d626f-5a87-3f0b-1307-200000018238']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148860,,2017-05-09,,,E,,,Torrey Reserve TR5,800-663-5633,2024-12-04T01:00:16Z,GPS,32.92580864,-117.2365366,San Diego,US,,,CA,11321 El Camino Real,92130,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,$1.00-$7.00/Hr Variable Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000001813'],['ec7d626f-5a87-3f0b-1307-200000001487'],,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148861,,2016-09-30,,,E,,,Gateway at Torrey Hills,800-663-5633,2024-12-04T00:19:02Z,GPS,32.9198255,-117.2329798,San Diego,US,,,CA,3588 Carmel Mountain Road,92130,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,$1.25-$3.00/Hr Variable Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000003257'],"['ec7d626f-5a87-3f0b-1307-200000004436', 'ec7d626f-5a87-3f0b-1307-200000004437']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148863,,2015-09-04,,,E,,,"CSHV Torrey Reserve West, LLC",800-663-5633,2024-12-04T00:50:19Z,GPS,32.9178452,-117.2364537,San Diego,US,,,CA,3396 Carmel Mountain Road,92121,,,,,,,,,,,,['J1772'],,,5.0,Blink Network,http://www.blinkcharging.com/,,$1.00-$5.00/Hr Variable Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000001501'],"['ec7d626f-5a87-3f0b-1307-200000003863', 'ec7d626f-5a87-3f0b-1307-200000003864', 'ec7d626f-5a87-3f0b-1307-200000003865', 'ec7d626f-5a87-3f0b-1307-200000003866', 'ec7d626f-5a87-3f0b-1307-200000003867']",,,
public,24 hours daily,,,2024-12-04,2023-02-27,ELEC,TEMPORARILY UNAVAILABLE (Public),148864,,2016-04-05,,,T,,,Parking Structure,800-663-5633,2024-12-04T00:55:26Z,GPS,32.9041197,-117.2446315,La Jolla,US,,,CA,11480 North Torrey Pines Road,92037,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,$2.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['d0e864cf-fb2a-3dbf-1307-c00000001764'],"['ec7d626f-5a87-3f0b-1307-200000003629', 'ec7d626f-5a87-3f0b-1307-200000003630']",,,
public,24 hours daily,,,2024-12-04,2024-07-02,ELEC,TEMPORARILY UNAVAILABLE (Public),148871,,2012-02-28,,,T,,,2835 Camino Del Rio S.,800-663-5633,2024-12-04T00:35:55Z,GPS,32.769709,-117.132852,San Diego,US,,,CA,2835 Camino Del Rio S.,92108,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,FREE,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['d0e864cf-fb2a-3dbf-1307-c00000000716'],['ec7d626f-5a87-3f0b-1307-200000001030'],,,
public,24 hours daily,,,2024-12-04,2024-07-02,ELEC,TEMPORARILY UNAVAILABLE (Public),148875,,2012-02-27,,,T,,,1111 6th Avenue,800-663-5633,2024-12-04T00:35:33Z,GPS,32.717006,-117.15898,San Diego,US,,,CA,"1111 6th Avenue, Parking Basement",92101,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,FREE,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,['d0e864cf-fb2a-3dbf-1307-c00000000548'],['ec7d626f-5a87-3f0b-1307-200000001029'],,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148878,,2015-04-27,,,E,,,MTS Garage Lot #526,800-663-5633,2024-12-04T00:22:34Z,GPS,32.7057287,-117.1532674,San Diego,US,,,CA,1255 Imperial Avenue,92101,,,,,,,,,,,,['J1772'],,,3.0,Blink Network,http://www.blinkcharging.com/,,$1.00-$2.00/Hr Variable Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000003626'],"['ec7d626f-5a87-3f0b-1307-200000009875', 'ec7d626f-5a87-3f0b-1307-200000009876', 'ec7d626f-5a87-3f0b-1307-200000009877']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,148879,,2011-12-06,,,E,,,"Walgreens - Chula Vista, CA #2623",800-663-5633,2024-12-04T00:30:37Z,GPS,32.613528,-117.068816,Chula Vista,US,,,CA,1111 Third Ave,91911,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,$2.00/Hr Parking Fee,,False,,,,,,,,,,,,,,,,,,,,,Public,,['d0e864cf-fb2a-3dbf-1307-c00000000229'],['ec7d626f-5a87-3f0b-1307-200000000463'],,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,149402,,2019-11-22,,,E,,,North City Campus,888-998-2546,2024-12-04T00:58:49Z,GPS,32.8086349,-117.145866,San Diego,US,,,CA,8401 Aero Dr.,92123,,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000092860'],"['465ba1dd-d734-8158-93cc-330000713955', '465ba1dd-d734-8158-93cc-330000714076', '465ba1dd-d734-8158-93cc-330000723798', '465ba1dd-d734-8158-93cc-330000732623']",,,
public,24 hours daily,,,2024-12-04,,ELEC,Public,149437,,2019-10-22,,,E,,,WellGreens,888-998-2546,2024-12-04T00:10:26Z,GPS,32.889452,-117.161639,San Diego,US,,,CA,7542 Trade St,92121,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,['465ba1dd-d734-8158-93cc-330000471879'],"['465ba1dd-d734-8158-93cc-330000421192', '465ba1dd-d734-8158-93cc-330000723816']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,149894,,2019-12-11,,,E,,,"Walmart 5023 - National City, CA",833-632-2778,2024-12-03T03:16:20Z,GPS,32.67507,-117.09773,National City,US,,,CA,1200 Highland Avenue,91950,,,,,,,,,,,,"['J1772', 'J1772COMBO']",3.0,,1.0,Electrify America,https://www.electrifyamerica.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['200141'],"['200141-01', '200141-02', '200141-03', '200141-50']",,,
public,24 hours daily,,,2024-12-03,,ELEC,Public,150009,,2019-12-13,,,E,,,Marina Village,833-632-2778,2024-12-03T03:15:40Z,GPS,33.72977,-118.0267,Huntington Beach,US,,,CA,5922 Edinger Avenue,92649,,,,,,,,,,,,"['J1772', 'J1772COMBO']",3.0,,1.0,Electrify America,https://www.electrifyamerica.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,['200062'],"['200062-01', '200062-02', '200062-03', '200062-50']",,,
